normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
augustus,Augustus,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
cold blood,Cold Blood,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
cold war crisis 1,Cold War Crisis 1,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
combat flight simulator,Combat Flight Simulator,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
command and conquer,Command and Conquer,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
command conquer tiberium wars,Command Conquer Tiberium Wars,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
cossacks 2 napoleonic wars,Cossacks 2 Napoleonic Wars,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
cossacks back to war,Cossacks Back to War,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
crazy frog racer feat the annoying thing,Crazy Frog Racer Feat The Annoying Thing,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
crazy machines,Crazy Machines,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
creative sound blaster audigy serie v 2 12,Creative Sound Blaster Audigy Serie v 2 12,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
crysis,Crysis,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
crysis v 1,Crysis v 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
dark age of camelot,Dark Age of Camelot,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
dark age of camelot shrouded isles,Dark Age of Camelot + Shrouded Isles,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
das haessliche entlein,Das haessliche Entlein,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
das schwarze auge drakensang,Das Schwarze Auge - Drakensang,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
deepolis online,deepolis online,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
defrag,Disk Defrag,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
deine reitschule,Deine Reitschule,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
der bauernhof,Der Bauernhof,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
der bunker,Der Bunker,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
enigma,Enigma,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
enigma rising tide,Enigma Rising Tide,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
eternal silence 3,Eternal Silence 3,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
europa universalis,Europa Universalis,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
