normalized_title,representative_title,canonical_title,canonical_slug,match_status,match_confidence,match_method,override_applied,match_source,match_source_url
age of mythology,Age of Mythology,,,ambiguous,low,wikidata-search,false,,
age of pirates caribbean tales,Age of Pirates Caribbean Tales,Age of Pirates: Caribbean Tales,age-of-pirates-caribbean-tales,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Age_of_Pirates%3A_Caribbean_Tales
ageof conan hyborian adventures,Ageof Conan Hyborian Adventures,,,unmatched,low,wikimedia,false,,
ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,,,unmatched,low,wikimedia,false,,
ageof empires the war chiefs,Ageof Empires The War Chiefs,,,unmatched,low,wikimedia,false,,
ageof empires the warchiefsv,Ageof Empires The Warchiefsv,,,unmatched,low,wikimedia,false,,
ageof empiresv,Ageof Empiresv,,,unmatched,low,wikimedia,false,,
ages of empires 3,Ages of Empires 3,,,unmatched,low,wikimedia,false,,
agon the lost sword of toledo,Agon The Lost Sword of Toledo,,,ambiguous,low,wikipedia-search,false,,
agon the lost swordof toledo,Agon The Lost Swordof Toledo,,,unmatched,low,wikimedia,false,,
air conflicts,Air Conflicts,,,ambiguous,low,wikidata-search,false,,
air conflicts addon,Air Conflicts Addon,,,unmatched,low,wikimedia,false,,
air strike 3d 2,Air Strike 3 D 2,,,unmatched,low,wikimedia,false,,
air taxi,Air Taxi,Q115799507,q115799507,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q115799507
airbus a380 excellent,Airbus A380 Excellent Edition,,,unmatched,low,wikimedia,false,,
airlines tycoon deluxe,Airlines Tycoon Deluxe,,,unmatched,low,wikimedia,false,,
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,,,unmatched,low,wikimedia,false,,
alan wake,Alan Wake,,,ambiguous,low,wikidata-search,false,,
alarmfr cobra nitro,Alarmfr Cobra Nitro,,,unmatched,low,wikimedia,false,,
alarmfuer cobra crash time,Alarmfuer Cobra Crash Time,,,unmatched,low,wikimedia,false,,
alexander,Alexander,,,ambiguous,low,wikidata-search,false,,
alexander die stunde der helden,Alexander Die Stunde der Helden,,,unmatched,low,wikimedia,false,,
alexander die stundeder helden,Alexander Die Stundeder Helden,,,unmatched,low,wikimedia,false,,
alexthe allegator,Alexthe Allegator,,,unmatched,low,wikimedia,false,,
alien arena,Alien Arena,,,ambiguous,low,wikidata-search,false,,
alien chess,Alien Chess,,,unmatched,low,wikimedia,false,,
alien horde,Alien Horde,,,unmatched,low,wikimedia,false,,
alien shooter,Alien Shooter,,,ambiguous,low,wikidata-search,false,,
alien shooter 2,Alien Shooter 2,,,ambiguous,low,wikidata-search,false,,
alien shooter2,Alien Shooter2,,,unmatched,low,wikimedia,false,,
aliens pinball,Aliens Pinball,,,ambiguous,low,wikipedia-search,false,,
all star strip poker,All Star Strip Poker,,,unmatched,low,wikimedia,false,,
alone in the dark komplettl sung,Alone in the Dark Komplettlösung,,,unmatched,low,wikimedia,false,,
alonein the dark,Alonein The Dark,,,unmatched,low,wikimedia,false,,
alonein the dark0,Alonein The Dark0,,,unmatched,low,wikimedia,false,,
aloneinthe dark,Aloneinthe Dark,,,unmatched,low,wikimedia,false,,
aloneinthe dark komplettlsung,Aloneinthe Dark Komplettlsung,,,unmatched,low,wikimedia,false,,
alternate flip,Alternate Flip,,,unmatched,low,wikimedia,false,,
alundo,Alundo,,,unmatched,low,wikimedia,false,,
america,America,,,ambiguous,low,wikidata-search,false,,
american conquest fight back,American Conquest Fight Back,,,ambiguous,low,wikipedia-search,false,,
ancient wars sparta,Ancient Wars Sparta,Ancient Wars: Sparta,ancient-wars-sparta,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Ancient_Wars%3A_Sparta
and yet it moves,And Yet It Moves,And Yet It Moves,and-yet-it-moves,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/And_Yet_It_Moves
andersens maedchen,Andersens Maedchen,,,unmatched,low,wikimedia,false,,
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,,,unmatched,low,wikimedia,false,,
angriff auf die westfront,Angriff auf die Westfront,,,unmatched,low,wikimedia,false,,
ankh herz des osiris,Ankh Herz des Osiris,Ankh: Herz des Osiris,ankh-herz-des-osiris,matched,high,wikipedia-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Ankh%3A_Herz_des_Osiris
ankh herzdes osiris,Ankh Herzdes Osiris,,,unmatched,low,wikimedia,false,,
ankh herzdes osirisv,Ankh Herzdes Osirisv,,,unmatched,low,wikimedia,false,,
ankh kampfder gtter,Ankh Kampfder Gtter,,,unmatched,low,wikimedia,false,,
anno1602,Anno 1602,Anno 1602,anno-1602,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Anno_1602
anno1701 der fluch des drachen add on,Anno 1701 Der Fluch des Drachen (Add On Demo),,,ambiguous,low,wikipedia-search,false,,
anno1701 der fluchdes drachen add on,Anno1701 Der Fluchdes Drachen Add On,,,unmatched,low,wikimedia,false,,
annov,Annov,,,ambiguous,low,wikidata-search,false,,
another worldth anniversary,Another Worldth Anniversary Edition,,,unmatched,low,wikimedia,false,,
ansto,Ansto Edition,,,unmatched,low,wikimedia,false,,
anstoss,Anstoss Edition,,,ambiguous,low,wikipedia-search,false,,
anstoss 3,Anstoss 3,Anstoss 3,anstoss-3,matched,high,wikidata-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Anstoss_3
anstoss action,Anstoss Action,Anstoss Action,anstoss-action,matched,high,wikidata-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Anstoss_Action
anstov,Anstov,,,unmatched,low,wikimedia,false,,
anstov zwei,Anstov Zwei,,,unmatched,low,wikimedia,false,,
anti twin,Anti Twin,,,unmatched,low,wikimedia,false,,
antira mexiko,"Antira, Mexiko",,,unmatched,low,wikimedia,false,,
apassionata die galanacht der pferde,Apassionata - Die Galanacht der Pferde,,,unmatched,low,wikimedia,false,,
aquanox 2,Aquanox 2,Aquanox 2: Revelation,aquanox-2-revelation,matched,high,wikidata-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Aquanox_2%3A_Revelation
arcade race crash,Arcade Race Crash,,,unmatched,low,wikimedia,false,,
arena wars,Arena Wars,,,ambiguous,low,wikidata-search,false,,
arena wars reloaded,Arena Wars Reloaded,,,ambiguous,low,wikipedia-search,false,,
arma 2,arma 2,Arma 2,arma-2,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Arma_2
armagetron advanced,Armagetron Advanced,Armagetron Advanced,armagetron-advanced,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Armagetron_Advanced
armed assault,Armed Assault,,,ambiguous,low,wikidata-search,false,,
armed assaultv,Armed Assaultv,,,unmatched,low,wikimedia,false,,
armies of exigo,Armies of Exigo,Armies of Exigo,armies-of-exigo,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Armies_of_Exigo
armiesof exigo,Armiesof Exigo,,,unmatched,low,wikimedia,false,,
armor digit,armor digit,,,unmatched,low,wikimedia,false,,
armored core,Armored Core,,,ambiguous,low,wikidata-search,false,,
armour of god 2,Armour of God 2,,,unmatched,low,wikimedia,false,,
armourof god2,Armourof God2,,,unmatched,low,wikimedia,false,,
armyof two,Armyof Two,,,ambiguous,low,wikipedia-search,false,,
arthurunddie minimoys,Arthurunddie Minimoys,,,unmatched,low,wikimedia,false,,
asghan,Asghan,Asghan: The Dragon Slayer,asghan-the-dragon-slayer,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Asghan%3A_The_Dragon_Slayer
assasins creed,Assasins Creed,Assassin's Creed,assassin-s-creed,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Assassin%27s_Creed
assassins creed,Assassins Creed,,,ambiguous,low,wikidata-search,false,,
assassins creed spieltricks,Assassins Creed Spieltricks,,,unmatched,low,wikimedia,false,,
assault heroes,Assault Heroes,,,ambiguous,low,wikidata-search,false,,
asterix obelix xxl 2,Asterix Obelix XXL 2,,,ambiguous,low,wikipedia-search,false,,
astro man,Astro Man,Q115104177,q115104177,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q115104177
athletics,Athletics,,,unmatched,low,manual-rejection,false,,
atlantis dasheilige vermchtnis,Atlantis Dasheilige Vermchtnis,,,unmatched,low,wikimedia,false,,
atlantis evolution,Atlantis Evolution,,,ambiguous,low,wikidata-search,false,,
atoll,Atoll,Q135022434,q135022434,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q135022434
atomund molekl,Atomund Molekl,,,unmatched,low,wikimedia,false,,
attack on pearl harbor,Attack on Pearl Harbor,Attack on Pearl Harbor (video game),attack-on-pearl-harbor-video-game,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor_%28video_game%29
attackon pearl harbor,Attackon Pearl Harbor,,,unmatched,low,wikimedia,false,,
auer gefahr,Auer Gefahr,,,unmatched,low,wikimedia,false,,
augustus,Augustus,,,ambiguous,low,wikidata-search,false,,
aura dieheiligen ringe,Aura Dieheiligen Ringe,,,unmatched,low,wikimedia,false,,
aura tor zur ewigkeit,Aura Tor zur Ewigkeit,,,unmatched,low,wikimedia,false,,
aurora watching,Aurora Watching,,,unmatched,low,wikimedia,false,,
auto cross racing,Auto Cross Racing,,,unmatched,low,wikimedia,false,,
autobahn raser 2,Autobahn Raser 2,,,unmatched,low,wikimedia,false,,
autobahn raser 4,Autobahn Raser 4,,,unmatched,low,wikimedia,false,,
autobahn raser das spiel,Autobahn Raser Das Spiel,,,unmatched,low,wikimedia,false,,
autobahn raser spiel zum film,Autobahn Raser Spiel zum Film,,,unmatched,low,wikimedia,false,,
autobahn raser w,Autobahn Raser W,,,unmatched,low,wikimedia,false,,
autobahnraser 3,Autobahnraser 3,,,unmatched,low,wikimedia,false,,
avencast riseofa mage,Avencast Riseofa Mage,,,unmatched,low,wikimedia,false,,
aw nuts,Aw Nuts,,,unmatched,low,wikimedia,false,,
axe snake peel,Axe Snake Peel,,,unmatched,low,wikimedia,false,,
azteca,Azteca,,,unmatched,low,wikimedia,false,,
backgammon xxl,Backgammon XXL,,,unmatched,low,wikimedia,false,,
bacuda,Bacuda,,,unmatched,low,wikimedia,false,,
bagger simulator,Bagger Simulator,,,unmatched,low,wikimedia,false,,
baldur s gate,Baldur's Gate,,,unmatched,low,wikimedia,false,,
baldur s gate 2 schatten von amn,Baldur's Gate 2 - Schatten von Amn,,,unmatched,low,wikimedia,false,,
baldur s gate 2 thron des bhaal,Baldur's Gate 2 - Thron des Bhaal,,,unmatched,low,wikimedia,false,,
baldur s gate compilation,Baldur's Gate - Compilation,,,unmatched,low,wikimedia,false,,
baldur s gate legenden der schwertk ste,Baldur's Gate Legenden der Schwertküste,,,unmatched,low,wikimedia,false,,
baldurs gate,Baldurs Gate,,,unmatched,low,wikimedia,false,,
baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,,,unmatched,low,wikimedia,false,,
ballerburg,Ballerburg,,,unmatched,low,wikimedia,false,,
ballermann hey baby,Ballermann Hey Baby,,,unmatched,low,wikimedia,false,,
bananas journey,Bananas Journey,,,unmatched,low,wikimedia,false,,
bang gunship elite,Bang! Gunship Elite,,,unmatched,low,wikimedia,false,,
baphomets fluch der engeldes todes,Baphomets Fluch Der Engeldes Todes,,,unmatched,low,wikimedia,false,,
baphomets fluch der engeldes todesv,Baphomets Fluch Der Engeldes Todesv,,,unmatched,low,wikimedia,false,,
baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,,,unmatched,low,wikimedia,false,,
barrow hill der fluchder kelten,Barrow Hill Der Fluchder Kelten,,,unmatched,low,wikimedia,false,,
battle lord,Battle Lord,,,unmatched,low,wikimedia,false,,
battle mages,Battle Mages,,,unmatched,low,wikimedia,false,,
battle realms,Battle Realms,,,unmatched,low,wikimedia,false,,
battlecruiser millenium,Battlecruiser Millenium,,,unmatched,low,wikimedia,false,,
battlefield,Battlefield,,,unmatched,low,wikimedia,false,,
battlefield 2,Battlefield 2,,,unmatched,low,wikimedia,false,,
battlefield 2 special forces,Battlefield 2 Special Forces,,,unmatched,low,wikimedia,false,,
battlefield northern strike,Battlefield Northern Strike,,,unmatched,low,wikimedia,false,,
battlefield toolkit,Battlefield Toolkit,,,unmatched,low,wikimedia,false,,
battlefield vietnam,Battlefield Vietnam,Battlefield Vietnam,battlefield-vietnam,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlefield_Vietnam
battlefieldv,Battlefieldv,,,unmatched,low,wikimedia,false,,
battlestation pacific,Battlestation Pacific,,,unmatched,low,wikimedia,false,,
battlestations midway,Battlestations Midway,,,unmatched,low,wikimedia,false,,
battlestations midwayv,Battlestations Midwayv,,,unmatched,low,wikimedia,false,,
bdflmanager,BDFLManager,,,unmatched,low,wikimedia,false,,
beach king stunt raser,Beach King Stunt Raser,,,unmatched,low,wikimedia,false,,
bee movie,Bee Movie,,,unmatched,low,wikimedia,false,,
belief betrayal das medaillondes judas,Belief Betrayal Das Medaillondes Judas,,,unmatched,low,wikimedia,false,,
beyond good evil,Beyond Good Evil,,,unmatched,low,wikimedia,false,,
biathlon2006,Biathlon 2006,,,unmatched,low,wikimedia,false,,
big mutha truckers truck me harder,Big Mutha Truckers Truck Me Harder,,,unmatched,low,wikimedia,false,,
big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,,,unmatched,low,wikimedia,false,,
bike flyter,Bike Flyter,,,unmatched,low,wikimedia,false,,
billard gl,Billard GL,,,unmatched,low,wikimedia,false,,
bioncle heroes,Bioncle Heroes,,,unmatched,low,wikimedia,false,,
birth of america,Birth of America,,,unmatched,low,wikimedia,false,,
birthof america,Birthof America,,,unmatched,low,wikimedia,false,,
bit defender free10,Bit Defender Free10,,,unmatched,low,wikimedia,false,,
black and white 2,Black and White 2,,,unmatched,low,wikimedia,false,,
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,,,unmatched,low,wikimedia,false,,
black penguin,Black Penguin,,,unmatched,low,wikimedia,false,,
black white,Black White,,,unmatched,low,wikimedia,false,,
blacksite area,Blacksite Area,,,unmatched,low,wikimedia,false,,
blazing angels secret missionsof world war ii,Blazing Angels Secret Missionsof World War II,,,unmatched,low,wikimedia,false,,
blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,,,unmatched,low,wikimedia,false,,
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,,,unmatched,low,wikimedia,false,,
blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,,,unmatched,low,wikimedia,false,,
blazing trails,Blazing Trails,,,unmatched,low,wikimedia,false,,
blitzkrieg 2,Blitzkrieg 2,,,unmatched,low,wikimedia,false,,
blitzkrieg 2v,Blitzkrieg 2 v,,,unmatched,low,wikimedia,false,,
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,,,unmatched,low,wikimedia,false,,
blitzkriegv,Blitzkriegv,,,unmatched,low,wikimedia,false,,
blobs,Blobs,,,unmatched,low,wikimedia,false,,
bloodmoon,Bloodmoon,,,unmatched,low,wikimedia,false,,
bmw m3 challenge,BMW M3 Challenge,,,unmatched,low,wikimedia,false,,
bmwm3 challenge,BMWM3 Challenge,,,unmatched,low,wikimedia,false,,
boiling point,Boiling Point,,,unmatched,low,wikimedia,false,,
boiling point road to hell,Boiling Point Road to Hell,,,unmatched,low,wikimedia,false,,
boiling point roadto hell,Boiling Point Roadto Hell,,,unmatched,low,wikimedia,false,,
bomberman act zero,Bomberman Act Zero,,,unmatched,low,wikimedia,false,,
boogie,Boogie,,,unmatched,low,wikimedia,false,,
bookof unwritten tales,Bookof Unwritten Tales,,,unmatched,low,wikimedia,false,,
bounci,Bounci,,,unmatched,low,wikimedia,false,,
bounci level creator 2,Bounci Level Creator 2,,,unmatched,low,wikimedia,false,,
bounci level creator2,Bounci Level Creator2,,,unmatched,low,wikimedia,false,,
bounci x dream,Bounci x Dream,,,unmatched,low,wikimedia,false,,
bouncix dream,Bouncix Dream,,,unmatched,low,wikimedia,false,,
bounty bay online,Bounty Bay Online,,,unmatched,low,wikimedia,false,,
boxsport manager,Boxsport Manager,,,unmatched,low,wikimedia,false,,
breakball,Breakball,,,unmatched,low,wikimedia,false,,
breed,Breed,,,unmatched,low,wikimedia,false,,
breed pre loaded,Breed Pre Loaded,,,unmatched,low,wikimedia,false,,
bricks from above,Bricks from above,,,unmatched,low,wikimedia,false,,
bridge builder,Bridge Builder,,,unmatched,low,wikimedia,false,,
brothersin arms earnedin bloodv,Brothersin Arms Earnedin Bloodv,,,unmatched,low,wikimedia,false,,
brothersin arms hells highway,Brothersin Arms Hells Highway,,,unmatched,low,wikimedia,false,,
bruno das spiel,Bruno Das Spiel,,,unmatched,low,wikimedia,false,,
bubble ball,Bubble Ball,,,unmatched,low,wikimedia,false,,
bubble escape,Bubble Escape,,,unmatched,low,wikimedia,false,,
bubble ghost,Bubble Ghost,,,unmatched,low,wikimedia,false,,
bufo storch,Bufo Storch,,,unmatched,low,wikimedia,false,,
burger mania,Burger Mania,,,unmatched,low,wikimedia,false,,
burn in test xpvista version,Burn In Test XPVista Version,,,unmatched,low,wikimedia,false,,
burnout paradise the ultimate box,Burnout Paradise The Ultimate Box,,,unmatched,low,wikimedia,false,,
burnout revenge,Burnout Revenge,,,unmatched,low,wikimedia,false,,
caesar,Caesar,,,unmatched,low,wikimedia,false,,
call of duty 4 modern warfare,Call of Duty 4 - Modern Warfare,,,unmatched,low,wikimedia,false,,
callof dutyv,Callof Dutyv,,,unmatched,low,wikimedia,false,,
camera lock ax,camera lock ax,,,unmatched,low,wikimedia,false,,
campus,Campus,,,unmatched,low,wikimedia,false,,
cannon hill,Cannon Hill,,,unmatched,low,wikimedia,false,,
captain delta und die quelle von argos,Captain Delta und die Quelle von Argos,,,unmatched,low,wikimedia,false,,
captain deltaunddie quellevon argos,Captain Deltaunddie Quellevon Argos,,,unmatched,low,wikimedia,false,,
carpet golf vr,Carpet Golf VR,,,unmatched,low,wikimedia,false,,
cars autoswiewir,Cars Autoswiewir,,,unmatched,low,wikimedia,false,,
castle fight,Castle Fight,,,unmatched,low,wikimedia,false,,
castle strike,Castle Strike,,,unmatched,low,wikimedia,false,,
castrol honda super bike,Castrol Honda Super Bike,,,unmatched,low,wikimedia,false,,
catapults,Catapults,,,unmatched,low,wikimedia,false,,
catch em,Catch 'em,,,unmatched,low,wikimedia,false,,
catchem,Catchem,,,unmatched,low,wikimedia,false,,
cbsspezial,CBSSpezial,,,unmatched,low,wikimedia,false,,
ccleaner,CCleaner,,,unmatched,low,wikimedia,false,,
ceville,Ceville,,,unmatched,low,wikimedia,false,,
championsheep rally,Championsheep Rally,,,unmatched,low,wikimedia,false,,
chaos league sudden death,Chaos League Sudden Death,,,unmatched,low,wikimedia,false,,
chaos space 2,Chaos Space 2,,,unmatched,low,wikimedia,false,,
chat room,CHAT ROOM,,,unmatched,low,wikimedia,false,,
cheats,Cheats,,,unmatched,low,wikimedia,false,,
chicken invaders,Chicken Invaders,,,unmatched,low,wikimedia,false,,
chicken shoot,Chicken Shoot,,,unmatched,low,wikimedia,false,,
chicken shoot 2,Chicken Shoot 2,,,unmatched,low,wikimedia,false,,
children of the nile,Children of the Nile,,,unmatched,low,wikimedia,false,,
chk alternate flip,Chk Alternate flip,,,unmatched,low,wikimedia,false,,
chk linseneffekte,Chk Linseneffekte,,,unmatched,low,wikimedia,false,,
chk partikel,Chk Partikel,,,unmatched,low,wikimedia,false,,
chk pixelzentrierung,Chk Pixelzentrierung,,,unmatched,low,wikimedia,false,,
chk schatten,Chk Schatten,,,unmatched,low,wikimedia,false,,
chk texturen,Chk Texturen,,,unmatched,low,wikimedia,false,,
chk tooltips,Chk Tooltips,,,unmatched,low,wikimedia,false,,
christmas bound,Christmas Bound,,,unmatched,low,wikimedia,false,,
chrome specforce,Chrome Specforce,,,unmatched,low,wikimedia,false,,
chromehounds,Chromehounds,,,unmatched,low,wikimedia,false,,
chromium bsu,Chromium BSU,,,unmatched,low,wikimedia,false,,
chronicles of spellborn,Chronicles of Spellborn,,,unmatched,low,wikimedia,false,,
cities online,cities online,,,unmatched,low,wikimedia,false,,
city life,City Life,,,unmatched,low,wikimedia,false,,
city life auf city life2008,City Life & Update auf City Life 2008,,,unmatched,low,wikimedia,false,,
city life updateauf city life2008,City Life Updateauf City Life2008,,,unmatched,low,wikimedia,false,,
city mining,City Mining,,,unmatched,low,wikimedia,false,,
city of villains,City of Villains,,,unmatched,low,wikimedia,false,,
civilization 4,Civilization 4,,,unmatched,low,wikimedia,false,,
civilization 4v,Civilization 4 v,,,unmatched,low,wikimedia,false,,
civilizationv,Civilizationv,,,unmatched,low,wikimedia,false,,
clever,Clever,,,unmatched,low,wikimedia,false,,
click clack xl,Click Clack XL,,,unmatched,low,wikimedia,false,,
clickomania,Clickomania,,,unmatched,low,wikimedia,false,,
clive barkers jericho,Clive Barkers Jericho,Clive Barker's Jericho,clive-barker-s-jericho,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Clive_Barker%27s_Jericho
clonk planet,Clonk Planet,Q117971736,q117971736,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q117971736
club football2005,Club Football 2005,Q60884809,q60884809,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q60884809
clusterball,Clusterball,Clusterball,clusterball,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Clusterball
cobian backup,Cobian Backup,Cobian Backup,cobian-backup,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cobian_Backup
code aktionen,Code Aktionen,,,unmatched,low,wikimedia,false,,
codeaktionen,Codeaktionen,,,unmatched,low,wikimedia,false,,
codename panzers,Codename Panzers,Codename: Panzers – Phase One,codename-panzers-phase-one,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_One
codename panzers cold war,Codename Panzers - Cold War,Codename: Panzers – Cold War,codename-panzers-cold-war,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Cold_War
codename panzers ph,Codename Panzers Ph,Codename: Panzers – Phase Two,codename-panzers-phase-two,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_Two
codename panzers phase 2,Codename Panzers Phase 2,Codename: Panzers – Phase Two,codename-panzers-phase-two,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_Two
cold blood,Cold Blood,,,ambiguous,low,wikidata-search,false,,
cold war,Cold War,Cold War (video game),cold-war-video-game,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cold_War_%28video_game%29
cold war crisis 1,Cold War Crisis 1,,,ambiguous,low,wikipedia-search,false,,
cold zero the last stand,Cold Zero The Last Stand,,,unmatched,low,wikimedia,false,,
colin mc rae dirt,Colin Mc Rae Dirt,Colin McRae: Dirt,colin-mcrae-dirt,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Colin_McRae%3A_Dirt
colin mc rae rally2005,Colin Mc Rae Rally 2005,Colin McRae Rally 2005,colin-mcrae-rally-2005,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Colin_McRae_Rally_2005
combat flight simulator,Combat Flight Simulator,,,ambiguous,low,wikidata-search,false,,
combat wings battleof britain,Combat Wings Battleof Britain,,,unmatched,low,wikimedia,false,,
command and conquer,Command and Conquer,,,ambiguous,low,wikidata-search,false,,
command conquer 3 tiberium wars karten editor,Command & Conquer 3 Tiberium Wars Karten Editor,,,unmatched,low,wikimedia,false,,
command conquer alarmstufe rot 3,Command & Conquer Alarmstufe Rot 3,Command & Conquer: Alarmstufe Rot 3,command-and-conquer-alarmstufe-rot-3,matched,high,wikipedia-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Command_%26_Conquer%3A_Alarmstufe_Rot_3
