normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
battlefield vietnam,Battlefield Vietnam,CBS112004DVD,2,2,high,disc-metadata-value,battlefieldvietnam,2004,CBS032005DVD,2005,2,Battlefield Vietnam; Battlefield Vietnam v 1,battlefield vietnam; battlefield vietnam v 1,unknown,game_title,game,stripped_version_suffix,high,matched,high,Battlefield Vietnam,battlefield-vietnam,game,2004,https://en.wikipedia.org/wiki/Battlefield_Vietnam,Q791444,https://www.wikidata.org/wiki/Q791444,shooter,first-person shooter,,,,,,,wikidata,retained_best_alias_match,,92
battle lord,Battle Lord,CBS092006DVD,1,1,high,disc-metadata-value,battlelord,2006,CBS092006DVD,2006,1,Battle Lord,battle lord,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
battle mages,Battle Mages,CBS092005DVD,1,1,high,disc-metadata-value,battlemages,2005,CBS092005DVD,2005,1,Battle Mages,battle mages,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
battle realms,Battle Realms,CBS042004,1,1,high,vollversion-fullversion,battlerealms,2004,CBS042004,2004,1,Battle Realms,battle realms,full_version,full_version_game,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
battlestation pacific,Battlestation Pacific,CBS072009DVDGold,1,1,high,disc-metadata-value,battlestationpacific,2009,CBS072009DVDGold,2009,1,Battlestation Pacific,battlestation pacific,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
battlestations midway,Battlestations Midway,CBS032007DVD,3,3,high,disc-metadata-value,battlestationsmidway,2007,CBS072007DVD,2007,2,Battlestations Midway; Battlestations Midwayv,battlestations midway; battlestations midwayv,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bdfl manager,BDFL Manager,CBS022007DVD,1,1,high,disc-metadata-value,bdflmanager,2007,CBS022007DVD,2007,1,BDFLManager,bdflmanager,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
beach king stunt raser,Beach King Stunt Raser,CBS032005DVD,1,1,high,disc-metadata-value,beachkingstuntraser,2005,CBS032005DVD,2005,1,Beach King Stunt Raser,beach king stunt raser,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bee movie,Bee Movie,CBS092007DVDGold,1,1,high,disc-metadata-value,beemovie,2007,CBS092007DVDGold,2007,1,Bee Movie,bee movie,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
belief betrayal das medaillondes judas,Belief Betrayal Das Medaillondes Judas,CBS072007DVDGold,1,1,high,disc-metadata-value,beliefbetrayaldasmedaillondesjudas,2007,CBS072007DVDGold,2007,1,Belief Betrayal Das Medaillondes Judas,belief betrayal das medaillondes judas,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
beyond good evil,Beyond Good Evil,CBS052007DVD,1,1,high,disc-metadata-value,beyondgoodevil,2007,CBS052007DVD,2007,1,Beyond Good Evil,beyond good evil,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
biathlon 2006,Biathlon 2006,CBS022006DVD,1,1,high,disc-metadata-value,biathlon2006,2006,CBS022006DVD,2006,1,Biathlon 2006,biathlon2006,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
big mutha truckers truck me harder,Big Mutha Truckers Truck Me Harder,CBS032007DVD,1,1,high,disc-metadata-value,bigmuthatruckerstruckmeharder,2007,CBS032007DVD,2007,1,Big Mutha Truckers Truck Me Harder,big mutha truckers truck me harder,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
big pizza ski challenge 09 deutschland edition,Big Pizza Ski Challenge 09 Deutschland Edition,CBS022009DVD,1,1,high,disc-metadata-value,bigpizzaskichallenge09deutschlandedition,2009,CBS022009DVD,2009,1,Big Pizza Ski Challenge 09 Deutschland Edition,big pizza ski challenge09 deutschland,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bike flyter,Bike Flyter,CBS092001,1,1,high,vollversion-fullversion,bikeflyter,2001,CBS092001,2001,1,Bike Flyter,bike flyter,full_version,full_version_game,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
billard gl,Billard GL,CBS082007DVDBonus,1,1,high,disc-metadata-value,billardgl,2007,CBS082007DVDBonus,2007,1,Billard GL,billard gl,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bioncle heroes,Bioncle Heroes,CBS022007DVD,1,1,high,disc-metadata-value,bioncleheroes,2007,CBS022007DVD,2007,1,Bioncle Heroes,bioncle heroes,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
birth of america,Birth of America,CBS112007DVD,1,2,high,disc-metadata-value,birthofamerica,2007,CBS112007DVD,2007,1,Birth of America,birth of america,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bit defender free 10,Bit Defender Free 10,CBS052008DVD,1,1,high,disc-metadata-value,bitdefenderfree10,2008,CBS052008DVD,2008,1,Bit Defender Free10,bit defender free10,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
black and white 2,Black and White 2,CBS082005DVD,1,1,high,disc-metadata-value,blackandwhite2,2005,CBS082005DVD,2005,1,Black and White 2,black and white 2,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,CBS062006DVD,1,1,high,disc-metadata-value,blackmirrorderdunklespiegelderseele,2006,CBS062006DVD,2006,1,Black Mirror Derdunkle Spiegelder Seele,black mirror derdunkle spiegelder seele,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
black penguin,Black Penguin,CBS082007DVDBonus,1,1,high,disc-metadata-value,blackpenguin,2007,CBS082007DVDBonus,2007,1,Black Penguin,black penguin,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blacksite area,Blacksite Area,CBS052007DVD,1,1,high,disc-metadata-value,blacksitearea,2007,CBS052007DVD,2007,1,Blacksite Area,blacksite area,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
black white,Black White,CBS062006DVD,1,1,high,disc-metadata-value,blackwhite,2006,CBS062006DVD,2006,1,Black White,black white,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blazing angels secret missionsof world war ii,Blazing Angels Secret Missionsof World War II,CBS082007DVDGold,1,1,high,disc-metadata-value,blazingangelssecretmissionsofworldwarii,2007,CBS082007DVDGold,2007,1,Blazing Angels Secret Missionsof World War II,blazing angels secret missionsof world war ii,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,CBS062006DVD,1,1,high,disc-metadata-value,blazingangelssquadronsofww,2006,CBS062006DVD,2006,1,Blazing Angels Squadronsof WW,blazing angels squadronsof ww,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blazing angels squadrons of w wv,Blazing Angels Squadrons Of W Wv,CBS072006DVD,2,2,high,disc-metadata-value,blazingangelssquadronsofwwv,2006,CBS092006DVD,2006,2,Blazing Angels Squadrons Of WWv; Blazing Angels Squadronsof WWv,blazing angels squadrons of wwv; blazing angels squadronsof wwv,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,50
blazing trails,Blazing Trails,CBS082007DVDBonus,1,1,high,disc-metadata-value,blazingtrails,2007,CBS082007DVDBonus,2007,1,Blazing Trails,blazing trails,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blitzkrieg,Blitzkrieg,CBS082006DVD,1,1,high,disc-metadata-value,blitzkrieg,2006,CBS082006DVD,2006,1,Blitzkriegv,blitzkriegv,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blitzkrieg 2,Blitzkrieg 2,CBS122005DVD,3,3,high,disc-metadata-value,blitzkrieg2,2005,CBS032006DVD,2006,3,Blitzkrieg 2; Blitzkrieg 2 v; Blitzkrieg 2 v 1,blitzkrieg 2; blitzkrieg 2v; blitzkrieg 2v 1,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,CBS042005DVD,1,1,high,disc-metadata-value,blitzkriegrollingthunder,2005,CBS042005DVD,2005,1,Blitzkrieg Rolling Thunder,blitzkrieg rolling thunder,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
blobs,Blobs,CBS082007DVDBonus,1,1,high,disc-metadata-value,blobs,2007,CBS082007DVDBonus,2007,1,Blobs,blobs,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bloodmoon,Bloodmoon,CBS092008DVDGold,1,1,high,disc-metadata-value,bloodmoon,2008,CBS092008DVDGold,2008,1,Bloodmoon,bloodmoon,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bmwm 3 challenge,BMWM 3 Challenge,CBS122007DVD,1,2,high,disc-metadata-value,bmwm3challenge,2007,CBS122007DVD,2007,1,BMWM3 Challenge,bmwm3 challenge,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
boiling point,Boiling Point,CBS092005DVD,1,1,high,disc-metadata-value,boilingpoint,2005,CBS092005DVD,2005,1,Boiling Point,boiling point,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
boiling point road to hell,Boiling Point Road to Hell,CBS072005DVD,3,3,high,disc-metadata-value,boilingpointroadtohell,2005,CBS042007DVDGold,2007,2,Boiling Point Road to Hell; Boiling Point Roadto Hell,boiling point road to hell; boiling point roadto hell,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,50
bomberman act zero,Bomberman Act Zero,CBS112006DVD,1,1,high,disc-metadata-value,bombermanactzero,2006,CBS112006DVD,2006,1,Bomberman Act Zero,bomberman act zero,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
boogie,Boogie,CBS092007DVD,1,1,high,disc-metadata-value,boogie,2007,CBS092007DVD,2007,1,Boogie,boogie,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bookof unwritten tales,Bookof Unwritten Tales,CBS072009DVDGold,1,1,high,disc-metadata-value,bookofunwrittentales,2009,CBS072009DVDGold,2009,1,Bookof Unwritten Tales,bookof unwritten tales,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bounci,Bounci,CBS022006DVD,2,2,high,disc-metadata-value,bounci,2006,CBS082007DVDBonus,2007,1,Bounci,bounci,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bounci level creator 2,Bounci Level Creator 2,CBS092007DVD,1,2,high,disc-metadata-value,bouncilevelcreator2,2007,CBS092007DVD,2007,1,Bounci Level Creator 2,bounci level creator 2,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bounci x dream,Bounci x Dream,CBS042006DVD,2,2,high,disc-metadata-value,bouncixdream,2006,CBS082007DVDBonus,2007,2,Bounci x Dream; Bouncix Dream,bounci x dream; bouncix dream,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,50
bounty bay online,Bounty Bay Online,CBS052007DVDGold,2,2,high,disc-metadata-value,bountybayonline,2007,CBS052009DVDGold,2009,2,Bounty Bay Online; Bounty Bay online,bounty bay online,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,50
boxsport manager,Boxsport Manager,CBS052007DVDGold,1,1,high,disc-metadata-value,boxsportmanager,2007,CBS052007DVDGold,2007,1,Boxsport Manager,boxsport manager,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
breakball,Breakball,CBS082006DVD,2,2,high,disc-metadata-value,breakball,2006,CBS082007DVDBonus,2007,1,Breakball,breakball,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
breed,Breed,CBS052006DVD,1,1,high,disc-manifest-path; disc-metadata-value,breed,2006,CBS052006DVD,2006,1,Breed,breed,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
breed pre loaded,Breed Pre Loaded,CBS082007DVDBonus,1,1,high,disc-metadata-value,breedpreloaded,2007,CBS082007DVDBonus,2007,1,Breed Pre Loaded,breed pre loaded,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bricks from above,Bricks from above,CBS112008DVD,1,1,high,disc-metadata-value,bricksfromabove,2008,CBS112008DVD,2008,1,Bricks from above,bricks from above,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bridge builder,Bridge Builder,CBS032005DVD,1,1,high,disc-metadata-value,bridgebuilder,2005,CBS032005DVD,2005,1,Bridge Builder,bridge builder,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
brothersin arms earnedin blood,Brothersin Arms Earnedin Blood,CBS072006DVD,1,1,high,disc-metadata-value,brothersinarmsearnedinblood,2006,CBS072006DVD,2006,1,Brothersin Arms Earnedin Bloodv,brothersin arms earnedin bloodv,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
brothersin arms hells highway,Brothersin Arms Hells Highway,CBS082007DVDGold,1,1,high,disc-metadata-value,brothersinarmshellshighway,2007,CBS082007DVDGold,2007,1,Brothersin Arms Hells Highway,brothersin arms hells highway,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bruno das spiel,Bruno Das Spiel,CBS102006DVD,1,1,high,disc-metadata-value,brunodasspiel,2006,CBS102006DVD,2006,1,Bruno Das Spiel,bruno das spiel,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bubble ball,Bubble Ball,CBS082007DVDBonus,1,1,high,disc-metadata-value,bubbleball,2007,CBS082007DVDBonus,2007,1,Bubble Ball,bubble ball,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bubble escape,Bubble Escape,CBS082007DVDBonus,1,1,high,disc-metadata-value,bubbleescape,2007,CBS082007DVDBonus,2007,1,Bubble Escape,bubble escape,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bubble ghost,Bubble Ghost,CBS082007DVDBonus,1,1,high,disc-metadata-value,bubbleghost,2007,CBS082007DVDBonus,2007,1,Bubble Ghost,bubble ghost,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
bufo storch,Bufo Storch,CBS082007DVDBonus,1,1,high,disc-metadata-value,bufostorch,2007,CBS082007DVDBonus,2007,1,Bufo Storch,bufo storch,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
burger mania,Burger Mania,CBS082007DVDBonus,1,1,high,disc-metadata-value,burgermania,2007,CBS082007DVDBonus,2007,1,Burger Mania,burger mania,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
burn in test xp vista version,Burn In Test XP Vista Version,CBS092008DVD,1,1,high,disc-metadata-value,burnintestxpvistaversion,2008,CBS092008DVD,2008,1,Burn In Test XPVista Version,burn in test xpvista version,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
burnout paradise the ultimate box,Burnout Paradise The Ultimate Box,CBS042009DVDGold,1,1,high,disc-metadata-value,burnoutparadisetheultimatebox,2009,CBS042009DVDGold,2009,1,Burnout Paradise The Ultimate Box,burnout paradise the ultimate box,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
burnout revenge,Burnout Revenge,CBS112005DVD,1,1,high,disc-metadata-value,burnoutrevenge,2005,CBS112005DVD,2005,1,Burnout Revenge,burnout revenge,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
caesar,Caesar,CBS102006DVDGOLD,2,2,high,disc-metadata-value,caesar,2006,CBS112006DVD,2006,1,Caesar,caesar,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
callof duty,Callof Duty,CBS072006DVD,2,2,high,disc-metadata-value,callofduty,2006,CBS092006DVD,2006,1,Callof Dutyv,callof dutyv,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
call of duty 4 modern warfare,Call of Duty 4 - Modern Warfare,CBS092008DVD,2,2,high,disc-metadata-value,callofduty4modernwarfare,2008,CBS112008DVD,2008,2,Call of Duty 4 - Modern Warfare; Callof Duty4 Modern Warfarev16,call of duty 4 modern warfare; callof duty4 modern warfarev16,unknown,game_title,game,stripped_version_suffix,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,50
camera lock ax,camera lock ax,CBS012005DVD,1,1,high,disc-metadata-value,cameralockax,2005,CBS012005DVD,2005,1,camera lock ax,camera lock ax,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
campus,Campus,CBS122007DVDGold,1,1,high,disc-metadata-value,campus,2007,CBS122007DVDGold,2007,1,Campus,campus,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
cannon hill,Cannon Hill,CBS082007DVDBonus,1,1,high,disc-metadata-value,cannonhill,2007,CBS082007DVDBonus,2007,1,Cannon Hill,cannon hill,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
captain delta und die quelle von argos,Captain Delta und die Quelle von Argos,CBS042008DVD,1,2,high,disc-metadata-value,captaindeltaunddiequellevonargos,2008,CBS042008DVD,2008,1,Captain Delta und die Quelle von Argos,captain delta und die quelle von argos,unknown,game_title,game,split_compound_token,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,46
carpet golf vr,Carpet Golf VR,CBS082007DVDBonus,1,1,high,disc-metadata-value,carpetgolfvr,2007,CBS082007DVDBonus,2007,1,Carpet Golf VR,carpet golf vr,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
cars autoswiewir,Cars Autoswiewir,CBS092006DVD,1,1,high,disc-metadata-value,carsautoswiewir,2006,CBS092006DVD,2006,1,Cars Autoswiewir,cars autoswiewir,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
castle fight,Castle Fight,CBS112009DVDGold,1,1,high,disc-metadata-value,castlefight,2009,CBS112009DVDGold,2009,1,Castle Fight,castle fight,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
castle strike,Castle Strike,CBS062006DVD,1,1,high,disc-manifest-path; disc-metadata-value,castlestrike,2006,CBS062006DVD,2006,1,Castle Strike,castle strike,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
castrol honda super bike,Castrol Honda Super Bike,CBS072000,1,1,high,vollversion-fullversion,castrolhondasuperbike,2000,CBS072000,2000,1,Castrol Honda Super Bike,castrol honda super bike,full_version,full_version_game,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
catapults,Catapults,CBS082007DVDBonus,1,1,high,disc-metadata-value,catapults,2007,CBS082007DVDBonus,2007,1,Catapults,catapults,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
catch em,Catch 'em,CBS042008DVD,1,2,high,disc-metadata-value,catchem,2008,CBS042008DVD,2008,1,Catch 'em,catch em,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
cbs spezial,CBS Spezial,CBS112008DVD,1,1,high,disc-metadata-value,cbsspezial,2008,CBS112008DVD,2008,1,CBSSpezial,cbsspezial,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
ceville,Ceville,CBS042009DVDGold,1,1,high,disc-metadata-value,ceville,2009,CBS042009DVDGold,2009,1,Ceville,ceville,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
championsheep rally,Championsheep Rally,CBS082006DVD,2,2,high,disc-metadata-value,championsheeprally,2006,CBS022007DVD,2007,1,Championsheep Rally,championsheep rally,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; reference_lookup_rate_limited; demoted_weak_alias_match,55
chaos league sudden death,Chaos League Sudden Death,CBS092005DVD,2,2,high,disc-metadata-value,chaosleaguesuddendeath,2005,CBS042006DVD,2006,2,Chaos League Sudden Death; Chaos League Sudden Death v 2,chaos league sudden death; chaos league sudden death v 2,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
