normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
jacomo s brick mountain,Jacomo's Brick Mountain,CBS022005DVD,2,2,high,disc-metadata-value,jacomosbrickmountain,2005,CBS082007DVDBonus,2007,2,Jacomo's Brick Mountain; Jacomos Brick Mountain,jacomo s brick mountain; jacomos brick mountain,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
jacomo s castle,Jacomo's Castle,CBS032005DVD,2,2,high,disc-metadata-value,jacomoscastle,2005,CBS082007DVDBonus,2007,2,Jacomo's Castle; Jacomos Castle,jacomo s castle; jacomos castle,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
jade empire,Jade Empire,CBS072005DVD,2,2,high,disc-metadata-value,jadeempire,2005,CBS052007DVD,2007,1,Jade Empire,jade empire,unknown,game_title,game,,high,matched,high,Jade Empire,jade-empire,game,2007,https://en.wikipedia.org/wiki/Jade_Empire,Q1143738,https://www.wikidata.org/wiki/Q1143738,action; rpg,LGBT-themed video game; action role-playing game; video game with LGBT character,,,,,,,wikidata,retained_best_alias_match,release_after_first_issue_possible_preview,92
jagdfieber,Jagdfieber,CBS012007DVD,1,1,high,disc-metadata-value,jagdfieber,2007,CBS012007DVD,2007,1,Jagdfieber,jagdfieber,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
jagged alliance wildfire,Jagged Alliance Wildfire,CBS072006DVD,1,1,high,disc-metadata-value,jaggedalliancewildfire,2006,CBS072006DVD,2006,1,Jagged Alliance Wildfire,jagged alliance wildfire,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
jardinains,Jardinains,CBS082007DVDBonus,1,1,high,disc-metadata-value,jardinains,2007,CBS082007DVDBonus,2007,1,Jardinains,jardinains,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,demoted_raw_qid_title; demoted_release_year_conflict; wikidata_only_match; demoted_weak_alias_match,35
jeithonas,Jeithonas,CBS062008DVD,1,1,high,disc-metadata-value,jeithonas,2008,CBS062008DVD,2008,1,Jeithonas,jeithonas,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
john woo presents stranglehold,John Woo Presents Stranglehold,CBS012007DVD,3,3,high,disc-metadata-value,johnwoopresentsstranglehold,2007,CBS042009DVD,2009,2,John Woo Presents Stranglehold; John Woo Presents Stranglehold v 1,john woo presents stranglehold; john woo presents stranglehold v 1,unknown,game_title,game,stripped_version_suffix,high,matched,high,Stranglehold (video game),stranglehold-video-game,game,2007,https://en.wikipedia.org/wiki/Stranglehold_%28video_game%29,Q392698,https://www.wikidata.org/wiki/Q392698,shooter,third-person shooter,,82/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
john woos stranglehold,John Woos Stranglehold,CBS062006DVD,1,1,high,disc-metadata-value,johnwoosstranglehold,2006,CBS062006DVD,2006,1,John Woos Stranglehold,john woos stranglehold,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
joint task force,Joint Task Force,CBS042006DVD,1,1,high,disc-metadata-value,jointtaskforce,2006,CBS042006DVD,2006,1,Joint Task Force,joint task force,unknown,game_title,game,,high,matched,high,Joint Task Force (video game),joint-task-force-video-game,game,2006,https://en.wikipedia.org/wiki/Joint_Task_Force_%28video_game%29,Q2289173,https://www.wikidata.org/wiki/Q2289173,strategy,real-time tactics,,70/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
