normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds
aura dieheiligen ringe,Aura Dieheiligen Ringe,CBS102006DVD,1,1,high,disc-metadata-value
aura tor zur ewigkeit,Aura Tor zur Ewigkeit,CBS112004DVD,1,1,high,disc-metadata-value
aura tor zur ewigkeit v 1,Aura Tor zur Ewigkeit v 1,CBS032005DVD,1,1,high,disc-metadata-value
aurora watching,Aurora Watching,CBS072005DVD,1,1,high,disc-metadata-value
auto cross racing,Auto Cross Racing,CBS062008DVD,1,1,high,disc-metadata-value
autobahn raser 2,Autobahn Raser 2,CBS042002,1,1,high,vollversion-fullversion
autobahn raser 4,Autobahn Raser 4,CBS032004 (CD1),2,2,high,vollversion-fullversion
autobahn raser das spiel,Autobahn Raser Das Spiel,CBS052005DVD,1,1,high,disc-metadata-value
autobahn raser spiel zum film,Autobahn Raser Spiel zum Film,CBS052005DVD,1,1,high,disc-metadata-value
autobahn raser w,Autobahn Raser W,CBS082005DVD,1,1,high,disc-metadata-value
autobahnraser 3,Autobahnraser 3,CBS122002,1,1,high,vollversion-fullversion
aw nuts,Aw Nuts,CBS092005DVD,1,1,high,disc-metadata-value
axe snake peel,Axe Snake Peel,CBS072005DVD,1,1,high,disc-metadata-value
azteca,Azteca,CBS122008DVD,1,1,high,"disc-manifest-path,disc-metadata-value"
backgammon xxl,Backgammon XXL,CBS072006DVD,1,1,high,disc-metadata-value
bagger simulator,Bagger Simulator,CBS102008DVD,1,1,high,disc-metadata-value
baldur s gate,Baldur's Gate,CBS122008DVD,1,1,high,disc-metadata-value
baldur s gate 2 schatten von amn,Baldur's Gate 2 - Schatten von Amn,CBS122008DVDGold,1,1,high,disc-metadata-value
baldur s gate 2 thron des bhaal,Baldur's Gate 2 - Thron des Bhaal,CBS122008DVDGold,1,1,high,disc-metadata-value
baldur s gate compilation,Baldur's Gate - Compilation,CBS122008DVDGold,1,1,high,disc-metadata-value
baldur s gate legenden der schwertk ste,Baldur's Gate Legenden der Schwertküste,CBS122008DVD,1,1,high,disc-metadata-value
baldurs gate,Baldurs Gate,CBS122008DVD,1,1,high,disc-metadata-value
baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,CBS122008DVD,1,1,high,disc-metadata-value
ballerburg,Ballerburg,CBS032004 (CD1),2,2,high,vollversion-fullversion
bang gunship elite,Bang! Gunship Elite,CBS122001,1,1,high,vollversion-fullversion
baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,CBS102006DVD,1,1,high,disc-metadata-value
battle lord,Battle Lord,CBS092006DVD,1,1,high,disc-metadata-value
battle mages,Battle Mages,CBS092005DVD,1,1,high,disc-metadata-value
battle realms,Battle Realms,CBS042004,1,1,high,vollversion-fullversion
battlecruiser millenium,Battlecruiser Millenium,CBS092005DVD,1,1,high,"disc-manifest-path,disc-metadata-value"
battlefield,Battlefield,CBS072006DVD,3,3,high,disc-metadata-value
battlefield 2,Battlefield 2,CBS022005DVD,3,3,high,disc-metadata-value
battlefield 2 special forces,Battlefield 2 Special Forces,CBS022006DVD,1,1,high,disc-metadata-value
battlefield 2v 1,Battlefield 2 v 1,CBS112005DVD,1,1,high,disc-metadata-value
battlefield 2v 1 12,Battlefield 2 v 1 12,CBS022006DVD,1,1,high,disc-metadata-value
battlefield toolkit,Battlefield Toolkit,CBS092006DVDGOLD,1,1,high,disc-metadata-value
battlefield vietnam,Battlefield Vietnam,CBS112004DVD,1,1,high,disc-metadata-value
battlefield vietnam v 1,Battlefield Vietnam v 1,CBS032005DVD,1,1,high,disc-metadata-value
battlefield2142v 1,Battlefield 2142 v 1,CBS092008DVD,1,1,high,disc-metadata-value
battlefield2142v150,Battlefield2142v150,CBS092008DVD,1,1,high,disc-metadata-value
battlefieldv,Battlefieldv,CBS072006DVD,3,3,high,disc-metadata-value
battlestation pacific,Battlestation Pacific,CBS072009DVDGold,1,1,high,disc-metadata-value
beach king stunt raser,Beach King Stunt Raser,CBS032005DVD,1,1,high,disc-metadata-value
biathlon2006,Biathlon 2006,CBS022006DVD,1,1,high,disc-metadata-value
big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,CBS022009DVD,1,1,high,disc-metadata-value
bike flyter,Bike Flyter,CBS092001,1,1,high,vollversion-fullversion
bit defender free10,Bit Defender Free10,CBS052008DVD,1,1,high,disc-metadata-value
black and white 2,Black and White 2,CBS082005DVD,1,1,high,disc-metadata-value
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,CBS062006DVD,1,1,high,disc-metadata-value
black white,Black White,CBS062006DVD,1,1,high,disc-metadata-value
blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,CBS072006DVD,1,1,high,disc-metadata-value
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,CBS062006DVD,1,1,high,disc-metadata-value
blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,CBS092006DVD,1,1,high,disc-metadata-value
blitzkrieg 2,Blitzkrieg 2,CBS122005DVD,1,1,high,disc-metadata-value
blitzkrieg 2v,Blitzkrieg 2 v,CBS032006DVD,1,1,high,disc-metadata-value
blitzkrieg 2v 1,Blitzkrieg 2 v 1,CBS012006DVD,1,1,high,disc-metadata-value
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,CBS042005DVD,1,1,high,disc-metadata-value
blitzkriegv,Blitzkriegv,CBS082006DVD,1,1,high,disc-metadata-value
bloodmoon,Bloodmoon,CBS092008DVDGold,1,1,high,disc-metadata-value
boiling point,Boiling Point,CBS092005DVD,1,1,high,disc-metadata-value
boiling point road to hell,Boiling Point Road to Hell,CBS072005DVD,1,1,high,disc-metadata-value
boiling point roadto hell,Boiling Point Roadto Hell,CBS032007DVDGold,1,1,high,disc-metadata-value
bomberman act zero,Bomberman Act Zero,CBS112006DVD,1,1,high,disc-metadata-value
bookof unwritten tales,Bookof Unwritten Tales,CBS072009DVDGold,1,1,high,disc-metadata-value
bounci,Bounci,CBS022006DVD,1,1,high,disc-metadata-value
bounci x dream,Bounci x Dream,CBS042006DVD,1,1,high,disc-metadata-value
breakball,Breakball,CBS082006DVD,1,1,high,disc-metadata-value
breed,Breed,CBS052006DVD,1,1,high,"disc-manifest-path,disc-metadata-value"
bricks from above,Bricks from above,CBS112008DVD,1,1,high,disc-metadata-value
bridge builder,Bridge Builder,CBS032005DVD,1,1,high,disc-metadata-value
brothersin arms earnedin bloodv,Brothersin Arms Earnedin Bloodv,CBS072006DVD,1,1,high,disc-metadata-value
bruno das spiel,Bruno Das Spiel,CBS102006DVD,1,1,high,disc-metadata-value
burn in test xpvista version,Burn In Test XPVista Version,CBS092008DVD,1,1,high,disc-metadata-value
burnout revenge,Burnout Revenge,CBS112005DVD,1,1,high,disc-metadata-value
caesar,Caesar,CBS102006DVDGOLD,2,2,high,disc-metadata-value
call of duty 4 modern warfare,Call of Duty 4 - Modern Warfare,CBS112008DVD,1,1,high,disc-metadata-value
callof duty4 modern warfarev16,Callof Duty4 Modern Warfarev16,CBS092008DVD,1,1,high,disc-metadata-value
callof dutyv,Callof Dutyv,CBS072006DVD,2,2,high,disc-metadata-value
camera lock ax,camera lock ax,CBS012005DVD,1,1,high,disc-metadata-value
captain delta und die quelle von argos,Captain Delta und die Quelle von Argos,CBS042008DVD,1,1,high,disc-metadata-value
captain deltaunddie quellevon argos,Captain Deltaunddie Quellevon Argos,CBS042008DVD,1,1,high,disc-metadata-value
cars autoswiewir,Cars Autoswiewir,CBS092006DVD,1,1,high,disc-metadata-value
castle fight,Castle Fight,CBS112009DVDGold,1,1,high,disc-metadata-value
castle strike,Castle Strike,CBS062006DVD,1,1,high,"disc-manifest-path,disc-metadata-value"
castrol honda super bike,Castrol Honda Super Bike,CBS072000,1,1,high,vollversion-fullversion
catch em,Catch 'em,CBS042008DVD,1,1,high,disc-metadata-value
catchem,Catchem,CBS042008DVD,1,1,high,disc-metadata-value
cbsspezial,CBSSpezial,CBS112008DVD,1,1,high,disc-metadata-value
ccleaner,Ccleaner,CBS032008DVD,1,1,high,disc-metadata-value
championsheep rally,Championsheep Rally,CBS082006DVD,1,1,high,disc-metadata-value
chaos league sudden death,Chaos League Sudden Death,CBS092005DVD,1,1,high,disc-metadata-value
chaos league sudden death v 2,Chaos League Sudden Death v 2,CBS042006DVD,1,1,high,disc-metadata-value
chat room,CHAT ROOM,CBS012005DVD,1,1,high,disc-metadata-value
chicken shoot,Chicken Shoot,CBS022005DVD,1,1,high,disc-metadata-value
chicken shoot 2,Chicken Shoot 2,CBS072005DVD,1,1,high,disc-metadata-value
children of the nile,Children of the Nile,CBS122004DVD,1,1,high,disc-metadata-value
chk alternate flip,Chk Alternate flip,CBS012005DVD,1,1,high,disc-metadata-value
chk linseneffekte,Chk Linseneffekte,CBS012005DVD,1,1,high,disc-metadata-value
chk partikel,Chk Partikel,CBS012005DVD,1,1,high,disc-metadata-value
chk pixelzentrierung,Chk Pixelzentrierung,CBS012005DVD,1,1,high,disc-metadata-value
chk schatten,Chk Schatten,CBS012005DVD,1,1,high,disc-metadata-value
chk texturen,Chk Texturen,CBS012005DVD,1,1,high,disc-metadata-value
chk tooltips,Chk Tooltips,CBS012005DVD,1,1,high,disc-metadata-value
christmas bound,Christmas Bound,CBS012005DVD,1,1,high,disc-metadata-value
chrome specforce,Chrome Specforce,CBS052008DVDGold,1,1,high,disc-metadata-value
chromehounds,Chromehounds,CBS092006DVD,2,2,high,disc-metadata-value
cities online,cities online,CBS102009DVD,1,1,high,disc-metadata-value
city life,City Life,CBS032006DVD,4,4,high,disc-metadata-value
city of villains,City of Villains,CBS012006DVD,1,1,high,disc-metadata-value
civilization 4,Civilization 4,CBS022006DVD,1,1,high,disc-metadata-value
civilization 4 beyond the sword v 3,Civilization 4 Beyond the Sword v 3,CBS092008DVD,1,1,high,disc-metadata-value
civilization 4v,Civilization 4 v,CBS032006DVD,1,1,high,disc-metadata-value
civilization4 beyondthe swordv317,Civilization4 Beyondthe Swordv317,CBS092008DVD,1,1,high,disc-metadata-value
civilizationv,Civilizationv,CBS072006DVD,1,1,high,disc-metadata-value
clever,Clever,CBS022009DVD,1,1,high,disc-metadata-value
click clack xl,Click Clack XL,CBS092006DVD,1,1,high,disc-metadata-value
clonk planet,Clonk Planet,CBS112005DVD,1,1,high,disc-metadata-value
club football2005,Club Football 2005,CBS122004DVD,1,1,high,disc-metadata-value
clusterball,Clusterball,CBS012001,1,1,high,vollversion-fullversion
cobian backup,Cobian Backup,CBS012009DVD,1,1,high,disc-metadata-value
code aktionen,Code Aktionen,CBS112009DVDGold,1,1,high,disc-metadata-value
codeaktionen,Codeaktionen,CBS112009DVD,1,1,high,disc-metadata-value
codename panzers,Codename Panzers,CBS122004DVD,1,1,high,disc-metadata-value
codename panzers 2v 1,Codename Panzers 2 v 1,CBS122005DVD,1,1,high,disc-metadata-value
codename panzers ph,Codename Panzers Ph,CBS082005DVD,1,1,high,disc-metadata-value
codename panzers phase 2,Codename Panzers Phase 2,CBS102005DVD,1,1,high,disc-metadata-value
codename panzers phase 2v 1,Codename Panzers Phase 2 v 1,CBS032008DVD,1,1,high,disc-metadata-value
codename panzers phase2v108,Codename Panzers Phase2v108,CBS032008DVD,1,1,high,disc-metadata-value
codename panzers v 1 06,Codename Panzers v 1 06,CBS022006DVD,1,1,high,disc-metadata-value
cold blood,Cold Blood,CBS052005DVD,1,1,high,"disc-manifest-path,disc-metadata-value"
cold war,Cold War,CBS012006DVD,1,1,high,disc-metadata-value
cold war crisis 1,Cold War Crisis 1,CBS112008DVD,1,1,high,disc-metadata-value
cold zero the last stand,Cold Zero The Last Stand,CBS012005DVD,1,1,high,disc-metadata-value
colin mc rae rally2005,Colin Mc Rae Rally 2005,CBS112004DVD,1,1,high,disc-metadata-value
combat flight simulator,Combat Flight Simulator,CBS032005DVD,1,1,high,disc-metadata-value
combat wings battleof britain,Combat Wings Battleof Britain,CBS012007DVD,1,1,high,disc-metadata-value
command and conquer,Command and Conquer,CBS102008DVD,1,1,high,disc-metadata-value
command conquer alarmstufe rot 3,Command & Conquer Alarmstufe Rot 3,CBS022009DVDGold,1,1,high,disc-metadata-value
command conquer alarmstufe rot 3v 1,Command & Conquer - Alarmstufe Rot 3 v 1,CBS022009DVD,1,1,high,disc-metadata-value
command conquer dieersten jahrev,Command Conquer Dieersten Jahrev,CBS062006DVD,1,1,high,disc-metadata-value
command conquer tiberium wars,Command Conquer Tiberium Wars,CBS082006DVD,1,1,high,disc-metadata-value
commandand conquer,Commandand Conquer,CBS102008DVD,1,1,high,disc-metadata-value
commandos hinter feindlichen linien,Commandos Hinter feindlichen Linien,CBS082002,1,1,high,vollversion-fullversion
commandos strike force,Commandos Strike Force,CBS052006DVD,1,1,high,disc-metadata-value
comodo backup,Comodo Backup,CBS012009DVD,1,1,high,disc-metadata-value
companyof heroes,Companyof Heroes,CBS122006DVD,1,1,high,disc-metadata-value
companyof heroesv,Companyof Heroesv,CBS012007DVD,1,1,high,disc-metadata-value
conflict desert storm,Conflict Desert Storm,CBS112005DVD,1,1,high,disc-metadata-value
conflict global storm,Conflict Global Storm,CBS062006DVD,1,1,high,disc-metadata-value
coogles,Coogles,CBS022005DVD,1,1,high,disc-metadata-value
cossacks 2,Cossacks 2,CBS082005DVD,1,1,high,disc-metadata-value
cossacks 2 napoleonic wars,Cossacks 2 Napoleonic Wars,CBS052005DVD,1,1,high,disc-metadata-value
cossacks 2v 1,Cossacks 2 v 1,CBS082005DVD,1,1,high,disc-metadata-value
cossacks back to war,Cossacks Back to War,CBS022005DVD,1,1,high,disc-metadata-value
cossacks battlefor europe,Cossacks Battlefor Europe,CBS072006DVD,1,1,high,disc-metadata-value
cossacks battlefor europev,Cossacks Battlefor Europev,CBS092006DVD,1,1,high,disc-metadata-value
cossacks european wars,Cossacks European Wars,CBS012004,1,1,high,vollversion-fullversion
cpucool,CPUCool,CBS122008DVD,1,1,high,disc-metadata-value
crashday,Crashday,CBS122004DVD,3,3,high,disc-metadata-value
crazy kickers xs,Crazy Kickers XS,CBS022005DVD,1,1,high,disc-metadata-value
crazy machines,Crazy Machines,CBS122004DVD,2,2,high,disc-metadata-value
crazy symbol sudoku,Crazy Symbol Sudoku,CBS062006DVD,1,1,high,disc-metadata-value
creative sound blaster audigy serie v 2 12,Creative Sound Blaster Audigy Serie v 2 12,CBS032008DVD,1,1,high,disc-metadata-value
creature conflict,Creature Conflict,CBS122005DVD,1,1,high,disc-metadata-value
crillion,Crillion,CBS042005DVD,1,1,high,disc-metadata-value
cross racing championship,Cross Racing Championship,CBS042005DVD,2,2,high,disc-metadata-value
crysis mod sdk 1,Crysis Mod SDK 1,CBS052008DVD,2,2,high,disc-metadata-value
crysis mod sdk10,Crysis Mod SDK10,CBS052008DVD,1,1,high,disc-metadata-value
crysis mod sdk12,Crysis Mod SDK12,CBS062008DVD,1,1,high,disc-metadata-value
crysis v 1,Crysis v 1,CBS042008DVD,1,1,high,disc-metadata-value
crysisv11,Crysisv11,CBS042008DVD,1,1,high,disc-metadata-value
csi eindeutige beweise,CSI Eindeutige Beweise,CBS052008DVD,1,1,high,disc-metadata-value
csicrime scene investigation mordin dimensionen,CSICrime Scene Investigation Mordin Dimensionen,CBS072006DVD,1,1,high,disc-metadata-value
csieindeutige beweise,CSIEindeutige Beweise,CBS052008DVD,1,1,high,disc-metadata-value
cycek nad new,CYCEK NAD NEW GAME,CBS012005DVD,1,1,high,disc-metadata-value
daemonica,Daemonica,CBS082006DVD,1,1,high,disc-metadata-value
dame xxl,Dame XXL,CBS062006DVD,1,1,high,disc-metadata-value
dark age of camelot,Dark Age of Camelot,CBS052005DVD,2,2,high,disc-metadata-value
dark age of camelot shrouded isles,Dark Age of Camelot + Shrouded Isles,CBS092005DVD,1,1,high,disc-metadata-value
dark horizon,Dark Horizon,CBS012009DVD,1,1,high,disc-metadata-value
dark project der meisterdieb,Dark Project Der Meisterdieb,CBS012002,1,1,high,vollversion-fullversion
dark quiz,Dark Quiz,CBS022005DVD,1,1,high,disc-metadata-value
darkstar one,Darkstar One,CBS062006DVD,2,2,high,disc-metadata-value
darkstar onev,Darkstar Onev,CBS112006DVD,1,1,high,disc-metadata-value
das ausbildungscamp,Das Ausbildungscamp,CBS012005DVD,1,1,high,disc-metadata-value
das bergwerk,Das Bergwerk,CBS012005DVD,1,1,high,disc-metadata-value
das chinesische viertel,Das chinesische Viertel,CBS012005DVD,1,1,high,disc-metadata-value
das eulemberg experiment,Das Eulemberg Experiment,CBS112006DVD,1,1,high,disc-metadata-value
das geheimlabor,Das Geheimlabor,CBS012005DVD,1,1,high,disc-metadata-value
das geheimnis der vergessenen h hle,Das Geheimnis der vergessenen Höhle,CBS092005DVD,1,1,high,disc-metadata-value
das haessliche entlein,Das haessliche Entlein,CBS082005DVD,1,1,high,disc-metadata-value
das hafenviertel,Das Hafenviertel,CBS012005DVD,1,1,high,disc-metadata-value
das schwarze auge drakensang,Das Schwarze Auge - Drakensang,CBS112008DVDGold,2,2,high,disc-metadata-value
das verm chtnis testament of sin,Das Vermächtnis - Testament of Sin,CBS022009DVD,1,1,high,disc-metadata-value
dead or alive 4,Dead or Alive 4,CBS122005DVD,1,1,high,disc-metadata-value
dead reefs,Dead Reefs,CBS092006DVD,1,1,high,disc-metadata-value
deador alive,Deador Alive,CBS082006DVD,1,1,high,disc-metadata-value
deepolis online,deepolis online,CBS072009DVD,1,1,high,disc-metadata-value
defrag,Disk Defrag,CBS032008DVD,1,1,high,disc-metadata-value
delta force xtreme,Delta Force Xtreme,CBS092005DVD,1,1,high,disc-metadata-value
der bauernhof,Der Bauernhof,CBS122008DVDGold,1,1,high,disc-metadata-value
der bunker,Der Bunker,CBS012005DVD,1,1,high,disc-metadata-value
der fluch der zwerge 1,Der Fluch der Zwerge 1,CBS112008DVD,1,1,high,disc-metadata-value
der fluch des goldes xs,Der Fluch des Goldes XS,CBS032005DVD,1,1,high,disc-metadata-value
der herr der ringe,Der Herr der Ringe,CBS032006DVD,1,1,high,disc-metadata-value
der herr der ringe die schlacht um mittelerde 2,Der Herr der Ringe Die Schlacht um Mittelerde 2,CBS042006DVD,1,1,high,disc-metadata-value
der herrder ringe die schlachtum mittelerde,Der Herrder Ringe Die Schlachtum Mittelerde,CBS052006DVD,1,1,high,disc-metadata-value
der herrder ringe die schlachtum mittelerdev,Der Herrder Ringe Die Schlachtum Mittelerdev,CBS062006DVD,2,2,high,disc-metadata-value
der herrder ringe online,Der Herrder Ringe Online,CBS082006DVD,1,1,high,disc-metadata-value
der hobbit v 1,Der Hobbit v 1,CBS012005DVD,1,1,high,disc-metadata-value
der industriegigant,Der Industriegigant,CBS072001,1,1,high,vollversion-fullversion
der pate,Der Pate,CBS052005DVD,2,2,high,disc-metadata-value
der trakt,Der Trakt,CBS012005DVD,1,1,high,disc-metadata-value
der verkehrsgigant,Der Verkehrsgigant Gold,CBS092002,1,1,high,vollversion-fullversion
der wohnwagen,Der Wohnwagen,CBS012005DVD,1,1,high,disc-metadata-value
desperados coopers revenge,Desperados Coopers Revenge,CBS072006DVD,1,1,high,disc-metadata-value
desperados coopers revengev,Desperados Coopers Revengev,CBS092006DVD,1,1,high,disc-metadata-value
destroy all humans,Destroy All Humans,CBS102006DVD,1,1,high,disc-metadata-value
devil kings,Devil Kings,CBS022006DVD,1,1,high,disc-metadata-value
devil may cry 3,Devil May Cry 3,CBS032005DVD,1,1,high,disc-metadata-value
devil may cry4,Devil May Cry4,CBS092008DVDGold,1,1,high,disc-metadata-value
